21222387	201609	0		0
17212168	201604	900		0
17244386	201604	15015	22519951	0
10740572	201604	3000	B2207349	0
10740572	201607	6000	B2207349	0
10740572	201611	6000	B2207349	0
24538468	201604	223.38	84302349	0
24538468	201604	273.52	84302349	0
24538468	201611	284.89	84302349	0
24538468	201610	281.47	84302349	0
24538468	201605	274.88	84302349	0
24538468	201608	706.64	84302349	0
24538468	201612	303.09	84302349	0
24538468	201606	274.88	84302349	0
24538468	201610	226	84302349	0
24538468	201604	324.84	84302349	0
24538468	201607	222.13	84302349	0
24538468	201607	262.38	84302349	0
24538468	201609	215.88	84302349	0
24538468	201611	363.38	84302349	0
24538468	201605	222.13	84302349	0
24538468	201608	239.63	84302349	0
24538468	201612	424.05	84302349	0
24538468	201612	262.72	84302349	0
24538468	201609	228.72	84302349	0
24538468	201605	222.13	84302349	0
24538468	201610	428.97	84302349	0
24538468	201607	433.18	84302349	0
24538468	201608	433.18	84302349	0
24538468	201611	210.9	84302349	0
24538468	201609	369.63	84302349	0
24538468	201606	222.13	84302349	0
24538468	201701	409.77	84302349	0
24538468	201606	215.88	84302349	0
24538468	201610	275.22	84302349	0
24538468	201612	2224.33	84302349	0
24538468	201605	1053.47	84302349	0
24538468	201612	222.13	84302349	0
24538468	201609	321.23	84302349	0
24538468	201604	467.59	84302349	0
24538468	201612	228	84302349	0
24538468	201609	274.88	84302349	0
24538468	201611	410.3	84302349	0
24538468	201605	417.8	84302349	0
24538468	201608	215.88	84302349	0
24538468	201607	243	84302349	0
24538468	201608	274.88	84302349	0
24538468	201606	433.18	84302349	0
11339139	201612	12213.99	B5088600	0
11339139	201612	5115.6	B5088600	0
11339139	201611	12911.18	B5088600	0
73409524	201605	2910.44	19610879	0
55038233	201605	11352.92	19610879	0
73409524	201612	6339.4	19610879	0
55038233	201612	10605.88	19610879	0
55038233	201611	6595.76	19610879	0
55038233	201605	5497.24	19610879	0
55038233	201609	3532.2	19610879	0
55038233	201612	8113.04	19610879	0
23755502	201604	2448.24	19610879	0
55038233	201610	29081.2	19610879	0
55038233	201609	5018.16	19610879	0
23755502	201608	624.08	19610879	0
55038233	201604	10097.8	19610879	0
55038233	201608	4718.88	19610879	0
23755502	201612	2031.16	19610879	0
73409524	201608	663.52	19610879	0
23755502	201605	1968.52	19610879	0
73409524	201607	2743.4	19610879	0
55038233	201604	10601.24	19610879	0
91323602	201605	1325.88	19610879	0
55038233	201605	544.04	19610879	0
55038233	201607	9336.84	19610879	0
55038233	201610	5773.32	19610879	0
94149067	201605	661.2	19610879	0
91323602	201510	4078.56	19610879	0
23755502	201604	4152.8	19610879	0
55038233	201606	3843.08	19610879	0
68873317	201612	885.08	19610879	0
55038233	201606	3839.6	19610879	0
55038233	201605	9680.2	19610879	0
55038233	201606	4366.24	19610879	0
55038233	201607	6596.92	19610879	0
55038233	201607	3712	19610879	0
94149067	201608	1737.6	19610879	0
55038233	201701	31069.44	19610879	0
55038233	201604	2199.36	19610879	0
55038233	201608	6644.48	19610879	0
23755502	201604	1426.8	19610879	0
73409524	201605	4213.12	19610879	0
55038233	201608	9340.32	19610879	0
55038233	201604	7071.36	19610879	0
91323602	201610	1340.96	19610879	0
73409524	201607	981.36	19610879	0
55038233	201606	15115.96	19610879	0
91323602	201611	7147.92	19610879	0
73409524	201611	5301.2	19610879	0
55038233	201611	12296	19610879	0
